"Step","MNIST_No-rotation_Ponder - val/steps","MNIST_No-rotation_Ponder - val/steps__MIN","MNIST_No-rotation_Ponder - val/steps__MAX"
"4","12.425100326538086","12.425100326538086","12.425100326538086"
"9","7.27429723739624","7.27429723739624","7.27429723739624"
"14","10.030120849609375","10.030120849609375","10.030120849609375"
"20","8.485943794250488","8.485943794250488","8.485943794250488"
"25","7.096987724304199","7.096987724304199","7.096987724304199"
"30","4.941164493560791","4.941164493560791","4.941164493560791"
"36","6.045180797576904","6.045180797576904","6.045180797576904"
"41","7.94236946105957","7.94236946105957","7.94236946105957"
"46","3.8156626224517822","3.8156626224517822","3.8156626224517822"
"52","5.439759254455566","5.439759254455566","5.439759254455566"
"57","7.522088527679443","7.522088527679443","7.522088527679443"
"62","8.545984268188477","8.545984268188477","8.545984268188477"
"67","4.570080280303955","4.570080280303955","4.570080280303955"
"73","6.561445713043213","6.561445713043213","6.561445713043213"
"78","6.064859390258789","6.064859390258789","6.064859390258789"
"83","8.455221176147461","8.455221176147461","8.455221176147461"
"89","6.596786975860596","6.596786975860596","6.596786975860596"
"94","4.516666889190674","4.516666889190674","4.516666889190674"
"99","7.008433818817139","7.008433818817139","7.008433818817139"
"105","4.031124591827393","4.031124591827393","4.031124591827393"
"110","4.60441780090332","4.60441780090332","4.60441780090332"
"115","5.40843391418457","5.40843391418457","5.40843391418457"
"120","7.621485710144043","7.621485710144043","7.621485710144043"
"126","5.303011894226074","5.303011894226074","5.303011894226074"
"131","5.2184739112854","5.2184739112854","5.2184739112854"
"136","5.7445783615112305","5.7445783615112305","5.7445783615112305"
"142","4.668272972106934","4.668272972106934","4.668272972106934"
"147","8.077911376953125","8.077911376953125","8.077911376953125"
"152","5.501204967498779","5.501204967498779","5.501204967498779"
"158","6.065662860870361","6.065662860870361","6.065662860870361"
"163","5.289357662200928","5.289357662200928","5.289357662200928"
"168","5.326907634735107","5.326907634735107","5.326907634735107"
"173","6.351405620574951","6.351405620574951","6.351405620574951"
"179","6.291164875030518","6.291164875030518","6.291164875030518"
"184","7.403012275695801","7.403012275695801","7.403012275695801"
"189","6.623694896697998","6.623694896697998","6.623694896697998"
"195","6.907630443572998","6.907630443572998","6.907630443572998"
