"Step","extrapolation - train/steps","extrapolation - train/steps__MIN","extrapolation - train/steps__MAX"
"0","12.0625","12.0625","12.0625"
"1","7.96875","7.96875","7.96875"
"2","5.125","5.125","5.125"
"3","5.5","5.5","5.5"
"4","5.8125","5.8125","5.8125"
"5","7.90625","7.90625","7.90625"
"6","8.625","8.625","8.625"
"7","6.125","6.125","6.125"
"9","6.6875","6.6875","6.6875"
"10","6.9375","6.9375","6.9375"
"11","7.21875","7.21875","7.21875"
"12","9.59375","9.59375","9.59375"
"13","8.125","8.125","8.125"
"14","6.96875","6.96875","6.96875"
"15","8.125","8.125","8.125"
"16","5.53125","5.53125","5.53125"
"17","6.625","6.625","6.625"
"19","6.78125","6.78125","6.78125"
"20","6.96875","6.96875","6.96875"
"21","9.28125","9.28125","9.28125"
"22","6.84375","6.84375","6.84375"
"23","5.5625","5.5625","5.5625"
"24","5.46875","5.46875","5.46875"
"25","4.375","4.375","4.375"
"26","6.96875","6.96875","6.96875"
"28","4.3125","4.3125","4.3125"
"29","4.0625","4.0625","4.0625"
"30","5.21875","5.21875","5.21875"
"31","6.6875","6.6875","6.6875"
"32","5","5","5"
"33","6.78125","6.78125","6.78125"
"34","6.09375","6.09375","6.09375"
"35","5.4375","5.4375","5.4375"
"36","4.71875","4.71875","4.71875"
"38","7.03125","7.03125","7.03125"
"39","10.1875","10.1875","10.1875"
"40","6.125","6.125","6.125"
"41","4.625","4.625","4.625"
"42","4.40625","4.40625","4.40625"
"43","6.53125","6.53125","6.53125"
"44","5.53125","5.53125","5.53125"
"45","6.96875","6.96875","6.96875"
"46","5.28125","5.28125","5.28125"
"48","6.40625","6.40625","6.40625"
"49","5.75","5.75","5.75"
"50","5.71875","5.71875","5.71875"
"51","6.625","6.625","6.625"
"52","3.21875","3.21875","3.21875"
"53","7.625","7.625","7.625"
"54","6.625","6.625","6.625"
"55","4.625","4.625","4.625"
"57","5.6875","5.6875","5.6875"
"58","4.84375","4.84375","4.84375"
"59","6.78125","6.78125","6.78125"
"60","5.59375","5.59375","5.59375"
"61","7.65625","7.65625","7.65625"
"62","9.40625","9.40625","9.40625"
"63","5.4375","5.4375","5.4375"
"64","5.71875","5.71875","5.71875"
"65","8.5","8.5","8.5"
"67","5.25","5.25","5.25"
"68","8.5625","8.5625","8.5625"
